Entity,Code,Year,Share of the population using at least basic sanitation
Afghanistan,AFG,2023,53.09094
Albania,ALB,2023,99.29949
Algeria,DZA,2023,85.86704
Andorra,AND,2023,100.0
Antigua and Barbuda,ATG,2023,99.60582
Armenia,ARM,2023,93.56745
Australia,AUS,2023,100.0
Austria,AUT,2023,99.972244
Azerbaijan,AZE,2023,97.94822
Bahrain,BHR,2023,100.0
Bangladesh,BGD,2023,65.63042
Barbados,BRB,2023,98.09246
Belarus,BLR,2023,99.71994
Belgium,BEL,2023,99.48621
Belize,BLZ,2023,84.249725
Benin,BEN,2023,21.54603
Bhutan,BTN,2023,85.299
Bolivia,BOL,2023,70.43354
Botswana,BWA,2023,71.99414
Brazil,BRA,2023,91.712845
Brunei,BRN,2023,100.0
Bulgaria,BGR,2023,86.06626
Burkina Faso,BFA,2023,30.915075
Burundi,BDI,2023,44.64561
Cambodia,KHM,2023,80.3569
Cameroon,CMR,2023,46.622623
Canada,CAN,2023,98.588135
Cape Verde,CPV,2023,83.086945
Central African Republic,CAF,2023,13.93922
Chad,TCD,2023,13.027954
Chile,CHL,2023,100.0
China,CHN,2023,97.241165
Colombia,COL,2023,95.7128
Comoros,COM,2023,56.104836
Cook Islands,COK,2023,98.80523
Costa Rica,CRI,2023,98.61797
Cote d'Ivoire,CIV,2023,39.640743
Cuba,CUB,2023,94.12208
Cyprus,CYP,2023,99.47688
Czechia,CZE,2023,99.07081
Democratic Republic of Congo,COD,2023,16.238682
Denmark,DNK,2023,99.59722
Djibouti,DJI,2023,67.02348
Dominican Republic,DOM,2023,89.61024
East Timor,TLS,2023,70.487724
Ecuador,ECU,2023,90.555695
Egypt,EGY,2023,96.865746
El Salvador,SLV,2023,87.79197
Estonia,EST,2023,99.02204
Eswatini,SWZ,2023,63.867653
Ethiopia,ETH,2023,10.016808
Fiji,FJI,2023,92.7542
Finland,FIN,2023,99.44795
France,FRA,2023,98.64519
Gabon,GAB,2023,57.301632
Gambia,GMB,2023,47.945793
Georgia,GEO,2023,90.04899
Germany,DEU,2023,99.226555
Ghana,GHA,2023,30.304846
Greece,GRC,2023,99.003944
Grenada,GRD,2023,92.61924
Guatemala,GTM,2023,70.604126
Guinea,GIN,2023,32.538857
Guinea-Bissau,GNB,2023,28.831972
Guyana,GUY,2023,91.30468
Haiti,HTI,2023,29.018084
Honduras,HND,2023,86.770195
Hungary,HUN,2023,97.9762
Iceland,ISL,2023,98.77868
India,IND,2023,80.69789
Indonesia,IDN,2023,86.93633
Iran,IRN,2023,90.41199
Iraq,IRQ,2023,98.50171
Ireland,IRL,2023,89.74201
Israel,ISR,2023,99.91904
Italy,ITA,2023,99.88497
Jamaica,JAM,2023,91.1019
Japan,JPN,2023,99.94558
Jordan,JOR,2023,96.52032
Kazakhstan,KAZ,2023,97.948875
Kenya,KEN,2023,40.170338
Kiribati,KIR,2023,45.10525
Kuwait,KWT,2023,100.0
Kyrgyzstan,KGZ,2023,98.408875
Laos,LAO,2023,86.995995
Latvia,LVA,2023,92.518684
Lebanon,LBN,2023,99.2
Lesotho,LSO,2023,46.617863
Liberia,LBR,2023,22.76042
Libya,LBY,2023,88.60604
Lithuania,LTU,2023,96.38484
Luxembourg,LUX,2023,97.60323
Madagascar,MDG,2023,15.288389
Malawi,MWI,2023,49.236877
Malaysia,MYS,2023,96.01914
Maldives,MDV,2023,99.31769
Mali,MLI,2023,46.448586
Malta,MLT,2023,100.0
Marshall Islands,MHL,2023,78.909424
Mauritania,MRT,2023,58.260834
Mauritius,MUS,2023,97.09041
Mexico,MEX,2023,92.978455
Moldova,MDA,2023,86.30943
Monaco,MCO,2023,100.0
Mongolia,MNG,2023,72.88517
Montenegro,MNE,2023,97.82979
Montserrat,MSR,2023,89.413635
Morocco,MAR,2023,87.64756
Mozambique,MOZ,2023,37.257484
Myanmar,MMR,2023,74.15619
Namibia,NAM,2023,38.400543
Nauru,NRU,2023,70.97093
Nepal,NPL,2023,82.58779
Netherlands,NLD,2023,97.66323
New Zealand,NZL,2023,100.0
Niger,NER,2023,15.87229
Nigeria,NGA,2023,47.71558
Niue,NIU,2023,98.01781
North Korea,PRK,2023,84.81845
North Macedonia,MKD,2023,98.9894
Norway,NOR,2023,98.04801
Oman,OMN,2023,99.32078
Pakistan,PAK,2023,71.824326
Palau,PLW,2023,99.02177
Palestine,PSE,2023,99.39254
Panama,PAN,2023,87.866615
Papua New Guinea,PNG,2023,23.225792
Paraguay,PRY,2023,95.24918
Peru,PER,2023,78.25716
Philippines,PHL,2023,85.991295
Poland,POL,2023,98.956696
Portugal,PRT,2023,99.66021
Qatar,QAT,2023,99.93655
Romania,ROU,2023,90.50553
Russia,RUS,2023,91.58869
Rwanda,RWA,2023,80.347565
Samoa,WSM,2023,96.84872
San Marino,SMR,2023,100.0
Sao Tome and Principe,STP,2023,48.60866
Saudi Arabia,SAU,2023,97.60241
Senegal,SEN,2023,61.466133
Serbia,SRB,2023,97.93477
Seychelles,SYC,2023,99.7
Sierra Leone,SLE,2023,23.904871
Singapore,SGP,2023,100.0
Slovakia,SVK,2023,97.53932
Slovenia,SVN,2023,98.31116
Solomon Islands,SLB,2023,34.40257
Somalia,SOM,2023,43.410896
South Africa,ZAF,2023,76.78163
South Korea,KOR,2023,99.74573
South Sudan,SSD,2023,14.320132
Spain,ESP,2023,99.918365
Sri Lanka,LKA,2023,95.34919
Sudan,SDN,2023,62.730545
Suriname,SUR,2023,89.98427
Sweden,SWE,2023,98.74368
Switzerland,CHE,2023,99.89987
Syria,SYR,2023,95.31585
Tajikistan,TJK,2023,95.9857
Tanzania,TZA,2023,35.6825
Thailand,THA,2023,99.038536
Togo,TGO,2023,25.029747
Tonga,TON,2023,93.93181
Trinidad and Tobago,TTO,2023,94.190704
Tunisia,TUN,2023,97.98492
Turkey,TUR,2023,99.26641
Turkmenistan,TKM,2023,99.73732
Turks and Caicos Islands,TCA,2023,93.14952
Tuvalu,TUV,2023,89.26089
Uganda,UGA,2023,23.529322
Ukraine,UKR,2023,97.64436
United Arab Emirates,ARE,2023,99.08905
United Kingdom,GBR,2023,99.10372
United States,USA,2023,99.61512
Uruguay,URY,2023,98.89339
Uzbekistan,UZB,2023,96.427826
Vanuatu,VUT,2023,48.197357
Venezuela,VEN,2023,98.395584
Vietnam,VNM,2023,94.08987
Yemen,YEM,2023,62.285976
Zambia,ZMB,2023,36.739132
Zimbabwe,ZWE,2023,34.628345
